21 21 21
5 0 0 0.0161011
5 0 1 0.0157382
5 0 2 0.0148296
5 0 3 0.0136517
5 0 4 0.0124158
5 0 5 0.0112415
5 0 6 0.0101810
5 0 7 0.0092473
5 0 8 0.0084351
5 0 9 0.0077311
5 0 10 0.0071205
5 1 0 0.0157382
5 1 1 0.0154064
5 1 2 0.0145593
5 1 3 0.0134448
5 1 4 0.0122618
5 1 5 0.0111279
5 1 6 0.0100967
5 1 7 0.0091843
5 1 8 0.0083872
5 1 9 0.0076943
5 1 10 0.0070917
5 2 0 0.0148296
5 2 1 0.0145593
5 2 2 0.0138488
5 2 3 0.0128858
5 2 4 0.0118366
5 2 5 0.0108085
5 2 6 0.0098570
5 2 7 0.0090031
5 2 8 0.0082488
5 2 9 0.0075871
5 2 10 0.0070077
5 3 0 0.0136517
5 3 1 0.0134448
5 3 2 0.0128858
5 3 3 0.0121033
5 3 4 0.0112232
5 3 5 0.0103361
5 3 6 0.0094949
5 3 7 0.0087248
5 3 8 0.0080332
5 3 9 0.0074185
5 3 10 0.0068742
5 4 0 0.0124158
5 4 1 0.0122618
5 4 2 0.0118366
5 4 3 0.0112232
5 4 4 0.0105111
5 4 5 0.0097716
5 4 6 0.0090514
5 4 7 0.0083767
5 4 8 0.0077589
5 4 9 0.0072008
5 4 10 0.0067000
5 5 0 0.0112415
5 5 1 0.0111279
5 5 2 0.0108085
5 5 3 0.0103361
5 5 4 0.0097716
5 5 5 0.0091683
5 5 6 0.0085650
5 5 7 0.0079862
5 5 8 0.0074453
5 5 9 0.0069478
5 5 10 0.0064947
5 6 0 0.0101810
5 6 1 0.0100967
5 6 2 0.0098570
5 6 3 0.0094949
5 6 4 0.0090514
5 6 5 0.0085650
5 6 6 0.0080664
5 6 7 0.0075769
5 6 8 0.0071099
5 6 9 0.0066727
5 6 10 0.0062681
5 7 0 0.0092473
5 7 1 0.0091843
5 7 2 0.0090031
5 7 3 0.0087248
5 7 4 0.0083767
5 7 5 0.0079862
5 7 6 0.0075769
5 7 7 0.0071664
5 7 8 0.0067671
5 7 9 0.0063866
5 7 10 0.0060290
5 8 0 0.0084351
5 8 1 0.0083872
5 8 2 0.0082488
5 8 3 0.0080332
5 8 4 0.0077589
5 8 5 0.0074453
5 8 6 0.0071099
5 8 7 0.0067671
5 8 8 0.0064276
5 8 9 0.0060986
5 8 10 0.0057848
5 9 0 0.0077311
5 9 1 0.0076943
5 9 2 0.0075871
5 9 3 0.0074185
5 9 4 0.0072008
5 9 5 0.0069478
5 9 6 0.0066727
5 9 7 0.0063866
5 9 8 0.0060986
5 9 9 0.0058152
5 9 10 0.0055411
5 10 0 0.0071205
5 10 1 0.0070917
5 10 2 0.0070077
5 10 3 0.0068742
5 10 4 0.0067000
5 10 5 0.0064947
5 10 6 0.0062681
5 10 7 0.0060290
5 10 8 0.0057848
5 10 9 0.0055411
5 10 10 0.0053023
6 0 0 0.0133647
6 0 1 0.0131642
6 0 2 0.0126262
6 0 3 0.0118760
6 0 4 0.0110326
6 0 5 0.0101810
6 0 6 0.0093708
6 0 7 0.0086262
6 0 8 0.0079549
6 0 9 0.0073560
6 0 10 0.0068241
6 1 0 0.0131642
6 1 1 0.0129743
6 1 2 0.0124613
6 1 3 0.0117405
6 1 4 0.0109249
6 1 5 0.0100967
6 1 6 0.0093053
6 1 7 0.0085751
6 1 8 0.0079149
6 1 9 0.0073244
6 1 10 0.0067988
6 2 0 0.0126262
6 2 1 0.0124613
6 2 2 0.0120093
6 2 3 0.0113639
6 2 4 0.0106217
6 2 5 0.0098570
6 2 6 0.0091172
6 2 7 0.0084275
6 2 8 0.0077986
6 2 9 0.0072320
6 2 10 0.0067248
6 3 0 0.0118760
6 3 1 0.0117405
6 3 2 0.0113639
6 3 3 0.0108154
6 3 4 0.0101715
6 3 5 0.0094949
6 3 6 0.0088288
6 3 7 0.0081984
6 3 8 0.0076160
6 3 9 0.0070858
6 3 10 0.0066068
6 4 0 0.0110326
6 4 1 0.0109249
6 4 2 0.0106217
6 4 3 0.0101715
6 4 4 0.0096313
6 4 5 0.0090514
6 4 6 0.0084689
6 4 7 0.0079078
6 4 8 0.0073813
6 4 9 0.0068956
6 4 10 0.0064519
6 5 0 0.0101810
6 5 1 0.0100967
6 5 2 0.0098570
6 5 3 0.0094949
6 5 4 0.0090514
6 5 5 0.0085650
6 5 6 0.0080664
6 5 7 0.0075769
6 5 8 0.0071099
6 5 9 0.0066727
6 5 10 0.0062681
6 6 0 0.0093708
6 6 1 0.0093053
6 6 2 0.0091172
6 6 3 0.0088288
