Refractive index of gold (Made on 10-13-21)
1 2 3 0 0 = specifies whether N or epsilon are read in (see manual)
lambda [um]	n	k
1.204	0.34300	8.05427
1.205	0.34361	8.06202
1.206	0.34422	8.06976
1.207	0.34482	8.07751
1.208	0.34543	8.08525
1.209	0.34603	8.09300
1.210	0.34663	8.10074
1.211	0.34722	8.10848
1.212	0.34782	8.11623
1.213	0.34841	8.12397
1.214	0.34900	8.13171
1.215	0.34958	8.13946
1.216	0.35017	8.14720
1.217	0.35075	8.15494
1.218	0.35132	8.16268
1.219	0.35190	8.17042
1.220	0.35247	8.17816
1.221	0.35304	8.18591
1.222	0.35360	8.19365
1.223	0.35417	8.20139
1.224	0.35473	8.20913
1.225	0.35529	8.21687
1.226	0.35584	8.22461
1.227	0.35640	8.23235
1.228	0.35695	8.24009
1.229	0.35750	8.24782
1.230	0.35804	8.25556
1.231	0.35859	8.26330
1.232	0.35913	8.27104
1.233	0.35967	8.27878
1.234	0.36020	8.28652
1.235	0.36074	8.29425
1.236	0.36127	8.30199
1.237	0.36180	8.30973
1.238	0.36232	8.31747
1.239	0.36285	8.32520
1.240	0.36337	8.33294
1.241	0.36389	8.34068
1.242	0.36441	8.34841
1.243	0.36492	8.35615
1.244	0.36544	8.36389
1.245	0.36595	8.37162
1.246	0.36646	8.37936
1.247	0.36696	8.38709
1.248	0.36747	8.39483
1.249	0.36797	8.40257
1.250	0.36847	8.41030
1.251	0.36897	8.41804
1.252	0.36947	8.42577
1.253	0.36996	8.43351
1.254	0.37045	8.44124
1.255	0.37094	8.44898
1.256	0.37143	8.45671
1.257	0.37192	8.46444
1.258	0.37240	8.47218
1.259	0.37289	8.47991
1.260	0.37337	8.48765
1.261	0.37385	8.49538
1.262	0.37433	8.50311
1.263	0.37480	8.51085
1.264	0.37528	8.51858
1.265	0.37575	8.52632
1.266	0.37622	8.53405
1.267	0.37669	8.54178
1.268	0.37715	8.54952
1.269	0.37762	8.55725
1.270	0.37808	8.56498
1.271	0.37855	8.57271
1.272	0.37901	8.58045
1.273	0.37947	8.58818
1.274	0.37992	8.59591
